date,open,high,low,close,volume
2015-01-02,19.4834,19.6286,19.1747,19.4834,2842012
2015-01-05,19.4834,19.5415,19.0672,19.1544,4948799
2015-01-06,19.1834,19.2028,18.5543,18.5736,4944121
2015-01-07,18.7091,18.8737,18.4672,18.5204,8045186
2015-01-08,18.7382,19.3383,18.7285,19.2221,7094534
2015-01-09,19.2899,19.4447,19.0237,19.2995,5238601
2015-01-12,19.3479,19.3528,18.8834,19.0576,4768307
2015-01-13,19.2028,19.5899,18.8979,19.0237,5917960
2015-01-14,18.8253,19.164,18.7769,19.106,3881531
2015-01-15,19.2415,19.3576,18.9608,18.9705,4723757
2015-01-16,18.9414,19.3383,18.8834,19.3189,4537800
2015-01-20,19.4544,19.5609,19.135,19.377,3507719
2015-01-21,19.2705,19.6964,19.135,19.648,3619494
2015-01-22,19.6867,20.04,19.4834,19.9867,3992810
2015-01-23,20.0061,20.0787,19.8416,20.0448,3010389
2015-01-26,19.9577,20.0545,19.8319,19.9529,3331008
2015-01-27,19.648,19.6673,18.9608,18.9995,8948721
2015-01-28,19.2318,19.3092,18.6801,18.6898,6818214
2015-01-29,18.6995,19.2511,18.6123,19.1447,5883531
2015-01-30,19.0092,19.2308,18.5543,18.5881,7454968
2015-02-02,18.6995,19.0672,18.3317,18.9898,6490149
2015-02-03,19.1253,19.4834,19.0285,19.4641,4586670
2015-02-04,19.406,19.7302,19.3431,19.5125,4537872
2015-02-05,19.5318,19.8416,19.5125,19.827,3511195
2015-02-06,19.8125,20.0448,19.6577,19.7448,5263073
2015-02-09,19.6286,19.7835,19.5028,19.7254,6849193
2015-02-10,19.7448,20.2868,19.6577,20.2771,5655113
2015-02-11,20.3255,20.3255,20.0061,20.1416,8020778
2015-02-12,21.2934,21.7773,21.1675,21.5837,16922588
2015-02-13,21.5353,21.6225,21.2063,21.5934,7752149
2015-02-17,21.5547,21.7676,21.4192,21.6563,5083466
2015-02-18,21.6321,21.6708,21.3708,21.4095,4273997
2015-02-19,21.6805,21.7192,21.3708,21.4628,4235760
2015-02-20,21.4482,21.6321,21.2934,21.6176,3943820
2015-02-23,21.6128,21.6128,21.3418,21.4482,3125918
2015-02-24,21.5308,21.6766,21.3365,21.6766,3733318
2015-02-25,21.5891,21.6863,21.4094,21.5114,3095526
2015-02-26,21.5308,21.6911,21.3948,21.5697,3821597
2015-02-27,21.5114,21.56,21.3569,21.4337,3937273
2015-03-02,21.3754,22.0749,21.3472,21.9535,7537781
2015-03-03,21.7932,21.9,21.4822,21.5503,4008638
2015-03-04,21.4725,21.8417,21.3851,21.7932,5670997
2015-03-05,21.7932,22.2498,21.7349,22.211,8076425
2015-03-06,22.0846,22.1915,21.8855,21.9098,6434807
2015-03-09,21.9195,22.1332,21.8709,21.968,5559693
2015-03-10,22.0652,22.4917,22.0263,22.3421,13180267
2015-03-11,22.347,22.6385,22.1672,22.2304,6552965
2015-03-12,22.0166,22.1818,21.6086,22.0263,10174260
2015-03-13,21.9195,22.1138,21.6183,22.0555,8982188
2015-03-16,22.2304,22.4539,22.0846,22.3178,5923864
2015-03-17,22.2692,22.5996,22.1138,22.5899,7498556
2015-03-18,22.5899,22.7065,22.0166,22.2207,10346084
2015-03-19,22.2984,22.6385,22.1332,22.5559,7768859
2015-03-20,22.7453,22.9348,22.5316,22.8036,11552119
2015-03-23,22.1235,22.415,22.0555,22.0652,10650277
2015-03-24,21.9972,22.1527,21.6669,21.764,8262025
2015-03-25,21.7543,21.7543,20.3746,20.4426,13563840
2015-03-26,20.0248,20.4572,19.8791,20.3698,7797997
2015-03-27,20.4912,20.8507,20.1609,20.773,7957152
2015-03-30,20.8701,20.9673,20.5981,20.8604,6331256
2015-03-31,20.8021,20.8216,20.3163,20.3309,8931942
